1787529600.000000 IP 10.70.0.66.40000 > 10.70.0.53.53: UDP, length 49
1787538030.002000 IP 10.70.0.66.40183 > 203.0.113.66.443: tcp 0
1787538030.003000 IP 10.70.0.66.40183 > 203.0.113.66.443: tcp 50086
1787538030.004000 IP 203.0.113.66.443 > 10.70.0.66.40183: tcp 2
1787538030.005000 IP 10.70.0.66.40183 > 203.0.113.66.443: tcp 0
1787538030.006000 IP 203.0.113.66.443 > 10.70.0.66.40183: tcp 0
1787538040.000000 IP 10.70.0.66.40184 > 203.0.113.66.443: tcp 0
1787538040.001000 IP 203.0.113.66.443 > 10.70.0.66.40184: tcp 0
1787538040.002000 IP 10.70.0.66.40184 > 203.0.113.66.443: tcp 0
1787538040.003000 IP 10.70.0.66.40184 > 203.0.113.66.443: tcp 50086
1787538040.004000 IP 203.0.113.66.443 > 10.70.0.66.40184: tcp 2
1787538040.005000 IP 10.70.0.66.40184 > 203.0.113.66.443: tcp 0
1787538040.006000 IP 203.0.113.66.443 > 10.70.0.66.40184: tcp 0
1787538050.000000 IP 10.70.0.66.40185 > 203.0.113.66.443: tcp 0
1787538050.001000 IP 203.0.113.66.443 > 10.70.0.66.40185: tcp 0
1787538050.002000 IP 10.70.0.66.40185 > 203.0.113.66.443: tcp 0
1787538050.003000 IP 10.70.0.66.40185 > 203.0.113.66.443: tcp 50086
1787538050.004000 IP 203.0.113.66.443 > 10.70.0.66.40185: tcp 2
1787538050.005000 IP 10.70.0.66.40185 > 203.0.113.66.443: tcp 0
1787538050.006000 IP 203.0.113.66.443 > 10.70.0.66.40185: tcp 0
1787538060.000000 IP 10.70.0.66.40186 > 203.0.113.66.443: tcp 0
1787538060.001000 IP 203.0.113.66.443 > 10.70.0.66.40186: tcp 0
1787538060.002000 IP 10.70.0.66.40186 > 203.0.113.66.443: tcp 0
1787538060.003000 IP 10.70.0.66.40186 > 203.0.113.66.443: tcp 50086
1787538060.004000 IP 203.0.113.66.443 > 10.70.0.66.40186: tcp 2
1787538060.005000 IP 10.70.0.66.40186 > 203.0.113.66.443: tcp 0
1787538060.006000 IP 203.0.113.66.443 > 10.70.0.66.40186: tcp 0
1787538070.000000 IP 10.70.0.66.40187 > 203.0.113.66.443: tcp 0
1787538070.001000 IP 203.0.113.66.443 > 10.70.0.66.40187: tcp 0
1787538070.002000 IP 10.70.0.66.40187 > 203.0.113.66.443: tcp 0
1787538070.003000 IP 10.70.0.66.40187 > 203.0.113.66.443: tcp 50086
1787538070.004000 IP 203.0.113.66.443 > 10.70.0.66.40187: tcp 2
1787538070.005000 IP 10.70.0.66.40187 > 203.0.113.66.443: tcp 0
1787538070.006000 IP 203.0.113.66.443 > 10.70.0.66.40187: tcp 0
1787538080.000000 IP 10.70.0.66.40188 > 203.0.113.66.443: tcp 0
1787538080.001000 IP 203.0.113.66.443 > 10.70.0.66.40188: tcp 0
1787538080.002000 IP 10.70.0.66.40188 > 203.0.113.66.443: tcp 0
1787538080.003000 IP 10.70.0.66.40188 > 203.0.113.66.443: tcp 50086
1787538080.004000 IP 203.0.113.66.443 > 10.70.0.66.40188: tcp 2
1787538080.005000 IP 10.70.0.66.40188 > 203.0.113.66.443: tcp 0
1787538080.006000 IP 203.0.113.66.443 > 10.70.0.66.40188: tcp 0
1787538090.000000 IP 10.70.0.66.40189 > 203.0.113.66.443: tcp 0
1787538090.001000 IP 203.0.113.66.443 > 10.70.0.66.40189: tcp 0
1787538090.002000 IP 10.70.0.66.40189 > 203.0.113.66.443: tcp 0
1787538090.003000 IP 10.70.0.66.40189 > 203.0.113.66.443: tcp 50086
1787538090.004000 IP 203.0.113.66.443 > 10.70.0.66.40189: tcp 2
1787538090.005000 IP 10.70.0.66.40189 > 203.0.113.66.443: tcp 0
1787538090.006000 IP 203.0.113.66.443 > 10.70.0.66.40189: tcp 0
1787538100.000000 IP 10.70.0.66.40190 > 203.0.113.66.443: tcp 0
1787538100.001000 IP 203.0.113.66.443 > 10.70.0.66.40190: tcp 0
1787538100.002000 IP 10.70.0.66.40190 > 203.0.113.66.443: tcp 0
1787538100.003000 IP 10.70.0.66.40190 > 203.0.113.66.443: tcp 50086
1787538100.004000 IP 203.0.113.66.443 > 10.70.0.66.40190: tcp 2
1787538100.005000 IP 10.70.0.66.40190 > 203.0.113.66.443: tcp 0
1787538100.006000 IP 203.0.113.66.443 > 10.70.0.66.40190: tcp 0
1787538110.000000 IP 10.70.0.66.40191 > 203.0.113.66.443: tcp 0
1787538110.001000 IP 203.0.113.66.443 > 10.70.0.66.40191: tcp 0
1787538110.002000 IP 10.70.0.66.40191 > 203.0.113.66.443: tcp 0
1787538110.003000 IP 10.70.0.66.40191 > 203.0.113.66.443: tcp 50086
1787538110.004000 IP 203.0.113.66.443 > 10.70.0.66.40191: tcp 2
1787538110.005000 IP 10.70.0.66.40191 > 203.0.113.66.443: tcp 0
1787538110.006000 IP 203.0.113.66.443 > 10.70.0.66.40191: tcp 0
1787538120.000000 IP 10.70.0.66.40192 > 203.0.113.66.443: tcp 0
1787538120.001000 IP 203.0.113.66.443 > 10.70.0.66.40192: tcp 0
1787538120.002000 IP 10.70.0.66.40192 > 203.0.113.66.443: tcp 0
1787538120.003000 IP 10.70.0.66.40192 > 203.0.113.66.443: tcp 50086
1787538120.004000 IP 203.0.113.66.443 > 10.70.0.66.40192: tcp 2
1787538120.005000 IP 10.70.0.66.40192 > 203.0.113.66.443: tcp 0
1787538120.006000 IP 203.0.113.66.443 > 10.70.0.66.40192: tcp 0
1787538130.000000 IP 10.70.0.66.40193 > 203.0.113.66.443: tcp 0
1787538130.001000 IP 203.0.113.66.443 > 10.70.0.66.40193: tcp 0
1787538130.002000 IP 10.70.0.66.40193 > 203.0.113.66.443: tcp 0
1787538130.003000 IP 10.70.0.66.40193 > 203.0.113.66.443: tcp 50086
1787538130.004000 IP 203.0.113.66.443 > 10.70.0.66.40193: tcp 2
1787538130.005000 IP 10.70.0.66.40193 > 203.0.113.66.443: tcp 0
1787538130.006000 IP 203.0.113.66.443 > 10.70.0.66.40193: tcp 0
1787538140.000000 IP 10.70.0.66.40194 > 203.0.113.66.443: tcp 0
1787538140.001000 IP 203.0.113.66.443 > 10.70.0.66.40194: tcp 0
1787538140.002000 IP 10.70.0.66.40194 > 203.0.113.66.443: tcp 0
1787538140.003000 IP 10.70.0.66.40194 > 203.0.113.66.443: tcp 50086
1787538140.004000 IP 203.0.113.66.443 > 10.70.0.66.40194: tcp 2
1787538140.005000 IP 10.70.0.66.40194 > 203.0.113.66.443: tcp 0
1787538140.006000 IP 203.0.113.66.443 > 10.70.0.66.40194: tcp 0
1787538150.000000 IP 10.70.0.66.40195 > 203.0.113.66.443: tcp 0
1787538150.001000 IP 203.0.113.66.443 > 10.70.0.66.40195: tcp 0
1787538150.002000 IP 10.70.0.66.40195 > 203.0.113.66.443: tcp 0
1787538150.003000 IP 10.70.0.66.40195 > 203.0.113.66.443: tcp 50086
1787538150.004000 IP 203.0.113.66.443 > 10.70.0.66.40195: tcp 2
1787538150.005000 IP 10.70.0.66.40195 > 203.0.113.66.443: tcp 0
1787538150.006000 IP 203.0.113.66.443 > 10.70.0.66.40195: tcp 0
1787538160.000000 IP 10.70.0.66.40196 > 203.0.113.66.443: tcp 0
1787538160.001000 IP 203.0.113.66.443 > 10.70.0.66.40196: tcp 0
1787538160.002000 IP 10.70.0.66.40196 > 203.0.113.66.443: tcp 0
1787538160.003000 IP 10.70.0.66.40196 > 203.0.113.66.443: tcp 50086
1787538160.004000 IP 203.0.113.66.443 > 10.70.0.66.40196: tcp 2
1787538160.005000 IP 10.70.0.66.40196 > 203.0.113.66.443: tcp 0
1787538160.006000 IP 203.0.113.66.443 > 10.70.0.66.40196: tcp 0
1787538170.000000 IP 10.70.0.66.40197 > 203.0.113.66.443: tcp 0
1787538170.001000 IP 203.0.113.66.443 > 10.70.0.66.40197: tcp 0
1787538170.002000 IP 10.70.0.66.40197 > 203.0.113.66.443: tcp 0
1787538170.003000 IP 10.70.0.66.40197 > 203.0.113.66.443: tcp 50086
1787538170.004000 IP 203.0.113.66.443 > 10.70.0.66.40197: tcp 2
1787538170.005000 IP 10.70.0.66.40197 > 203.0.113.66.443: tcp 0
1787538170.006000 IP 203.0.113.66.443 > 10.70.0.66.40197: tcp 0
1787538180.000000 IP 10.70.0.66.40198 > 203.0.113.66.443: tcp 0
1787538180.001000 IP 203.0.113.66.443 > 10.70.0.66.40198: tcp 0
1787538180.002000 IP 10.70.0.66.40198 > 203.0.113.66.443: tcp 0
1787538180.003000 IP 10.70.0.66.40198 > 203.0.113.66.443: tcp 50086
1787538180.004000 IP 203.0.113.66.443 > 10.70.0.66.40198: tcp 2
1787538180.005000 IP 10.70.0.66.40198 > 203.0.113.66.443: tcp 0
1787538180.006000 IP 203.0.113.66.443 > 10.70.0.66.40198: tcp 0
1787538190.000000 IP 10.70.0.66.40199 > 203.0.113.66.443: tcp 0
1787538190.001000 IP 203.0.113.66.443 > 10.70.0.66.40199: tcp 0
1787538190.002000 IP 10.70.0.66.40199 > 203.0.113.66.443: tcp 0
1787538190.003000 IP 10.70.0.66.40199 > 203.0.113.66.443: tcp 50086
1787538190.004000 IP 203.0.113.66.443 > 10.70.0.66.40199: tcp 2
1787538190.005000 IP 10.70.0.66.40199 > 203.0.113.66.443: tcp 0
1787538190.006000 IP 203.0.113.66.443 > 10.70.0.66.40199: tcp 0
1787538200.000000 IP 10.70.0.66.40200 > 203.0.113.66.443: tcp 0
1787538200.001000 IP 203.0.113.66.443 > 10.70.0.66.40200: tcp 0
1787538200.002000 IP 10.70.0.66.40200 > 203.0.113.66.443: tcp 0
1787538200.003000 IP 10.70.0.66.40200 > 203.0.113.66.443: tcp 50086
1787538200.004000 IP 203.0.113.66.443 > 10.70.0.66.40200: tcp 2
1787538200.005000 IP 10.70.0.66.40200 > 203.0.113.66.443: tcp 0
1787538200.006000 IP 203.0.113.66.443 > 10.70.0.66.40200: tcp 0
1787538210.000000 IP 10.70.0.66.40201 > 203.0.113.66.443: tcp 0
1787538210.001000 IP 203.0.113.66.443 > 10.70.0.66.40201: tcp 0
1787538210.002000 IP 10.70.0.66.40201 > 203.0.113.66.443: tcp 0
1787538210.003000 IP 10.70.0.66.40201 > 203.0.113.66.443: tcp 50086
1787538210.004000 IP 203.0.113.66.443 > 10.70.0.66.40201: tcp 2
1787538210.005000 IP 10.70.0.66.40201 > 203.0.113.66.443: tcp 0
1787538210.006000 IP 203.0.113.66.443 > 10.70.0.66.40201: tcp 0
1787538220.000000 IP 10.70.0.66.40202 > 203.0.113.66.443: tcp 0
1787538220.001000 IP 203.0.113.66.443 > 10.70.0.66.40202: tcp 0
1787538220.002000 IP 10.70.0.66.40202 > 203.0.113.66.443: tcp 0
1787538220.003000 IP 10.70.0.66.40202 > 203.0.113.66.443: tcp 50086
1787538220.004000 IP 203.0.113.66.443 > 10.70.0.66.40202: tcp 2
1787538220.005000 IP 10.70.0.66.40202 > 203.0.113.66.443: tcp 0
1787538220.006000 IP 203.0.113.66.443 > 10.70.0.66.40202: tcp 0
1787538230.000000 IP 10.70.0.66.40203 > 203.0.113.66.443: tcp 0
1787538230.001000 IP 203.0.113.66.443 > 10.70.0.66.40203: tcp 0
1787538230.002000 IP 10.70.0.66.40203 > 203.0.113.66.443: tcp 0
1787538230.003000 IP 10.70.0.66.40203 > 203.0.113.66.443: tcp 50086
1787538230.004000 IP 203.0.113.66.443 > 10.70.0.66.40203: tcp 2
1787538230.005000 IP 10.70.0.66.40203 > 203.0.113.66.443: tcp 0
1787538230.006000 IP 203.0.113.66.443 > 10.70.0.66.40203: tcp 0
1787538240.000000 IP 10.70.0.66.40204 > 203.0.113.66.443: tcp 0
1787538240.001000 IP 203.0.113.66.443 > 10.70.0.66.40204: tcp 0
1787538240.002000 IP 10.70.0.66.40204 > 203.0.113.66.443: tcp 0
1787538240.003000 IP 10.70.0.66.40204 > 203.0.113.66.443: tcp 50086
1787538240.004000 IP 203.0.113.66.443 > 10.70.0.66.40204: tcp 2
1787538240.005000 IP 10.70.0.66.40204 > 203.0.113.66.443: tcp 0
1787538240.006000 IP 203.0.113.66.443 > 10.70.0.66.40204: tcp 0
1787538250.000000 IP 10.70.0.66.40205 > 203.0.113.66.443: tcp 0
1787538250.001000 IP 203.0.113.66.443 > 10.70.0.66.40205: tcp 0
1787538250.002000 IP 10.70.0.66.40205 > 203.0.113.66.443: tcp 0
1787538250.003000 IP 10.70.0.66.40205 > 203.0.113.66.443: tcp 50086
1787538250.004000 IP 203.0.113.66.443 > 10.70.0.66.40205: tcp 2
1787538250.005000 IP 10.70.0.66.40205 > 203.0.113.66.443: tcp 0
1787538250.006000 IP 203.0.113.66.443 > 10.70.0.66.40205: tcp 0
1787538260.000000 IP 10.70.0.66.40206 > 203.0.113.66.443: tcp 0
1787538260.001000 IP 203.0.113.66.443 > 10.70.0.66.40206: tcp 0
1787538260.002000 IP 10.70.0.66.40206 > 203.0.113.66.443: tcp 0
1787538260.003000 IP 10.70.0.66.40206 > 203.0.113.66.443: tcp 50086
1787538260.004000 IP 203.0.113.66.443 > 10.70.0.66.40206: tcp 2
1787538260.005000 IP 10.70.0.66.40206 > 203.0.113.66.443: tcp 0
1787538260.006000 IP 203.0.113.66.443 > 10.70.0.66.40206: tcp 0
1787538270.000000 IP 10.70.0.66.40207 > 203.0.113.66.443: tcp 0
1787538270.001000 IP 203.0.113.66.443 > 10.70.0.66.40207: tcp 0
1787538270.002000 IP 10.70.0.66.40207 > 203.0.113.66.443: tcp 0
1787538270.003000 IP 10.70.0.66.40207 > 203.0.113.66.443: tcp 50086
1787538270.004000 IP 203.0.113.66.443 > 10.70.0.66.40207: tcp 2
1787538270.005000 IP 10.70.0.66.40207 > 203.0.113.66.443: tcp 0
1787538270.006000 IP 203.0.113.66.443 > 10.70.0.66.40207: tcp 0
1787538280.000000 IP 10.70.0.66.40208 > 203.0.113.66.443: tcp 0
1787538280.001000 IP 203.0.113.66.443 > 10.70.0.66.40208: tcp 0
1787538280.002000 IP 10.70.0.66.40208 > 203.0.113.66.443: tcp 0
1787538280.003000 IP 10.70.0.66.40208 > 203.0.113.66.443: tcp 50086
1787538280.004000 IP 203.0.113.66.443 > 10.70.0.66.40208: tcp 2
1787538280.005000 IP 10.70.0.66.40208 > 203.0.113.66.443: tcp 0
1787538280.006000 IP 203.0.113.66.443 > 10.70.0.66.40208: tcp 0
1787538290.000000 IP 10.70.0.66.40209 > 203.0.113.66.443: tcp 0
1787538290.001000 IP 203.0.113.66.443 > 10.70.0.66.40209: tcp 0
1787538290.002000 IP 10.70.0.66.40209 > 203.0.113.66.443: tcp 0
1787538290.003000 IP 10.70.0.66.40209 > 203.0.113.66.443: tcp 50086
1787538290.004000 IP 203.0.113.66.443 > 10.70.0.66.40209: tcp 2
1787538290.005000 IP 10.70.0.66.40209 > 203.0.113.66.443: tcp 0
1787538290.006000 IP 203.0.113.66.443 > 10.70.0.66.40209: tcp 0
1787538300.000000 IP 10.70.0.66.40210 > 203.0.113.66.443: tcp 0
1787538300.001000 IP 203.0.113.66.443 > 10.70.0.66.40210: tcp 0
1787538300.002000 IP 10.70.0.66.40210 > 203.0.113.66.443: tcp 0
1787538300.003000 IP 10.70.0.66.40210 > 203.0.113.66.443: tcp 50086
1787538300.004000 IP 203.0.113.66.443 > 10.70.0.66.40210: tcp 2
1787538300.005000 IP 10.70.0.66.40210 > 203.0.113.66.443: tcp 0
1787538300.006000 IP 203.0.113.66.443 > 10.70.0.66.40210: tcp 0
1787538310.000000 IP 10.70.0.66.40211 > 203.0.113.66.443: tcp 0
1787538310.001000 IP 203.0.113.66.443 > 10.70.0.66.40211: tcp 0
1787538310.002000 IP 10.70.0.66.40211 > 203.0.113.66.443: tcp 0
1787538310.003000 IP 10.70.0.66.40211 > 203.0.113.66.443: tcp 50086
1787538310.004000 IP 203.0.113.66.443 > 10.70.0.66.40211: tcp 2
1787538310.005000 IP 10.70.0.66.40211 > 203.0.113.66.443: tcp 0
1787538310.006000 IP 203.0.113.66.443 > 10.70.0.66.40211: tcp 0
1787538320.000000 IP 10.70.0.66.40212 > 203.0.113.66.443: tcp 0
1787538320.001000 IP 203.0.113.66.443 > 10.70.0.66.40212: tcp 0
1787538320.002000 IP 10.70.0.66.40212 > 203.0.113.66.443: tcp 0
1787538320.003000 IP 10.70.0.66.40212 > 203.0.113.66.443: tcp 50086
1787538320.004000 IP 203.0.113.66.443 > 10.70.0.66.40212: tcp 2
1787538320.005000 IP 10.70.0.66.40212 > 203.0.113.66.443: tcp 0
1787538320.006000 IP 203.0.113.66.443 > 10.70.0.66.40212: tcp 0
1787538330.000000 IP 10.70.0.66.40213 > 203.0.113.66.443: tcp 0
1787538330.001000 IP 203.0.113.66.443 > 10.70.0.66.40213: tcp 0
1787538330.002000 IP 10.70.0.66.40213 > 203.0.113.66.443: tcp 0
1787538330.003000 IP 10.70.0.66.40213 > 203.0.113.66.443: tcp 50086
1787538330.004000 IP 203.0.113.66.443 > 10.70.0.66.40213: tcp 2
1787538330.005000 IP 10.70.0.66.40213 > 203.0.113.66.443: tcp 0
1787538330.006000 IP 203.0.113.66.443 > 10.70.0.66.40213: tcp 0
1787538340.000000 IP 10.70.0.66.40214 > 203.0.113.66.443: tcp 0
1787538340.001000 IP 203.0.113.66.443 > 10.70.0.66.40214: tcp 0
1787538340.002000 IP 10.70.0.66.40214 > 203.0.113.66.443: tcp 0
1787538340.003000 IP 10.70.0.66.40214 > 203.0.113.66.443: tcp 50086
1787538340.004000 IP 203.0.113.66.443 > 10.70.0.66.40214: tcp 2
1787538340.005000 IP 10.70.0.66.40214 > 203.0.113.66.443: tcp 0
1787538340.006000 IP 203.0.113.66.443 > 10.70.0.66.40214: tcp 0
1787538350.000000 IP 10.70.0.66.40215 > 203.0.113.66.443: tcp 0
1787538350.001000 IP 203.0.113.66.443 > 10.70.0.66.40215: tcp 0
1787538350.002000 IP 10.70.0.66.40215 > 203.0.113.66.443: tcp 0
1787538350.003000 IP 10.70.0.66.40215 > 203.0.113.66.443: tcp 50086
1787538350.004000 IP 203.0.113.66.443 > 10.70.0.66.40215: tcp 2
1787538350.005000 IP 10.70.0.66.40215 > 203.0.113.66.443: tcp 0
1787538350.006000 IP 203.0.113.66.443 > 10.70.0.66.40215: tcp 0
1787538360.000000 IP 10.70.0.66.40216 > 203.0.113.66.443: tcp 0
1787538360.001000 IP 203.0.113.66.443 > 10.70.0.66.40216: tcp 0
1787538360.002000 IP 10.70.0.66.40216 > 203.0.113.66.443: tcp 0
1787538360.003000 IP 10.70.0.66.40216 > 203.0.113.66.443: tcp 50086
1787538360.004000 IP 203.0.113.66.443 > 10.70.0.66.40216: tcp 2
1787538360.005000 IP 10.70.0.66.40216 > 203.0.113.66.443: tcp 0
1787538360.006000 IP 203.0.113.66.443 > 10.70.0.66.40216: tcp 0
1787538370.000000 IP 10.70.0.66.40217 > 203.0.113.66.443: tcp 0
1787538370.001000 IP 203.0.113.66.443 > 10.70.0.66.40217: tcp 0
1787538370.002000 IP 10.70.0.66.40217 > 203.0.113.66.443: tcp 0
1787538370.003000 IP 10.70.0.66.40217 > 203.0.113.66.443: tcp 50086
1787538370.004000 IP 203.0.113.66.443 > 10.70.0.66.40217: tcp 2
1787538370.005000 IP 10.70.0.66.40217 > 203.0.113.66.443: tcp 0
1787538370.006000 IP 203.0.113.66.443 > 10.70.0.66.40217: tcp 0
1787538380.000000 IP 10.70.0.66.40218 > 203.0.113.66.443: tcp 0
1787538380.001000 IP 203.0.113.66.443 > 10.70.0.66.40218: tcp 0
1787538380.002000 IP 10.70.0.66.40218 > 203.0.113.66.443: tcp 0
1787538380.003000 IP 10.70.0.66.40218 > 203.0.113.66.443: tcp 50086
1787538380.004000 IP 203.0.113.66.443 > 10.70.0.66.40218: tcp 2
1787538380.005000 IP 10.70.0.66.40218 > 203.0.113.66.443: tcp 0
1787538380.006000 IP 203.0.113.66.443 > 10.70.0.66.40218: tcp 0
1787538390.000000 IP 10.70.0.66.40219 > 203.0.113.66.443: tcp 0
1787538390.001000 IP 203.0.113.66.443 > 10.70.0.66.40219: tcp 0
1787538390.002000 IP 10.70.0.66.40219 > 203.0.113.66.443: tcp 0
1787538390.003000 IP 10.70.0.66.40219 > 203.0.113.66.443: tcp 50086
1787538390.004000 IP 203.0.113.66.443 > 10.70.0.66.40219: tcp 2
1787538390.005000 IP 10.70.0.66.40219 > 203.0.113.66.443: tcp 0
1787538390.006000 IP 203.0.113.66.443 > 10.70.0.66.40219: tcp 0
1787538400.000000 IP 10.70.0.66.40220 > 203.0.113.66.443: tcp 0
1787538400.001000 IP 203.0.113.66.443 > 10.70.0.66.40220: tcp 0
1787538400.002000 IP 10.70.0.66.40220 > 203.0.113.66.443: tcp 0
1787538400.003000 IP 10.70.0.66.40220 > 203.0.113.66.443: tcp 50087
1787538400.004000 IP 203.0.113.66.443 > 10.70.0.66.40220: tcp 2
1787538400.005000 IP 10.70.0.66.40220 > 203.0.113.66.443: tcp 0
1787538400.006000 IP 203.0.113.66.443 > 10.70.0.66.40220: tcp 0
1787538410.000000 IP 10.70.0.66.40221 > 203.0.113.66.443: tcp 0
1787538410.001000 IP 203.0.113.66.443 > 10.70.0.66.40221: tcp 0
1787538410.002000 IP 10.70.0.66.40221 > 203.0.113.66.443: tcp 0
1787538410.003000 IP 10.70.0.66.40221 > 203.0.113.66.443: tcp 50087
1787538410.004000 IP 203.0.113.66.443 > 10.70.0.66.40221: tcp 2
1787538410.005000 IP 10.70.0.66.40221 > 203.0.113.66.443: tcp 0
1787538410.006000 IP 203.0.113.66.443 > 10.70.0.66.40221: tcp 0
1787538420.000000 IP 10.70.0.66.40222 > 203.0.113.66.443: tcp 0
1787538420.001000 IP 203.0.113.66.443 > 10.70.0.66.40222: tcp 0
1787538420.002000 IP 10.70.0.66.40222 > 203.0.113.66.443: tcp 0
1787538420.003000 IP 10.70.0.66.40222 > 203.0.113.66.443: tcp 50087
1787538420.004000 IP 203.0.113.66.443 > 10.70.0.66.40222: tcp 2
1787538420.005000 IP 10.70.0.66.40222 > 203.0.113.66.443: tcp 0
1787538420.006000 IP 203.0.113.66.443 > 10.70.0.66.40222: tcp 0
1787538430.000000 IP 10.70.0.66.40223 > 203.0.113.66.443: tcp 0
1787538430.001000 IP 203.0.113.66.443 > 10.70.0.66.40223: tcp 0
1787538430.002000 IP 10.70.0.66.40223 > 203.0.113.66.443: tcp 0
1787538430.003000 IP 10.70.0.66.40223 > 203.0.113.66.443: tcp 50087
1787538430.004000 IP 203.0.113.66.443 > 10.70.0.66.40223: tcp 2
1787538430.005000 IP 10.70.0.66.40223 > 203.0.113.66.443: tcp 0
1787538430.006000 IP 203.0.113.66.443 > 10.70.0.66.40223: tcp 0
1787538440.000000 IP 10.70.0.66.40224 > 203.0.113.66.443: tcp 0
1787538440.001000 IP 203.0.113.66.443 > 10.70.0.66.40224: tcp 0
1787538440.002000 IP 10.70.0.66.40224 > 203.0.113.66.443: tcp 0
1787538440.003000 IP 10.70.0.66.40224 > 203.0.113.66.443: tcp 50087
1787538440.004000 IP 203.0.113.66.443 > 10.70.0.66.40224: tcp 2
1787538440.005000 IP 10.70.0.66.40224 > 203.0.113.66.443: tcp 0
1787538440.006000 IP 203.0.113.66.443 > 10.70.0.66.40224: tcp 0
1787538450.000000 IP 10.70.0.66.40225 > 203.0.113.66.443: tcp 0
1787538450.001000 IP 203.0.113.66.443 > 10.70.0.66.40225: tcp 0
1787538450.002000 IP 10.70.0.66.40225 > 203.0.113.66.443: tcp 0
1787538450.003000 IP 10.70.0.66.40225 > 203.0.113.66.443: tcp 50087
1787538450.004000 IP 203.0.113.66.443 > 10.70.0.66.40225: tcp 2
1787538450.005000 IP 10.70.0.66.40225 > 203.0.113.66.443: tcp 0
1787538450.006000 IP 203.0.113.66.443 > 10.70.0.66.40225: tcp 0
1787538460.000000 IP 10.70.0.66.40226 > 203.0.113.66.443: tcp 0
1787538460.001000 IP 203.0.113.66.443 > 10.70.0.66.40226: tcp 0
1787538460.002000 IP 10.70.0.66.40226 > 203.0.113.66.443: tcp 0
1787538460.003000 IP 10.70.0.66.40226 > 203.0.113.66.443: tcp 50087
1787538460.004000 IP 203.0.113.66.443 > 10.70.0.66.40226: tcp 2
1787538460.005000 IP 10.70.0.66.40226 > 203.0.113.66.443: tcp 0
1787538460.006000 IP 203.0.113.66.443 > 10.70.0.66.40226: tcp 0
1787538470.000000 IP 10.70.0.66.40227 > 203.0.113.66.443: tcp 0
1787538470.001000 IP 203.0.113.66.443 > 10.70.0.66.40227: tcp 0
1787538470.002000 IP 10.70.0.66.40227 > 203.0.113.66.443: tcp 0
1787538470.003000 IP 10.70.0.66.40227 > 203.0.113.66.443: tcp 50087
1787538470.004000 IP 203.0.113.66.443 > 10.70.0.66.40227: tcp 2
1787538470.005000 IP 10.70.0.66.40227 > 203.0.113.66.443: tcp 0
1787538470.006000 IP 203.0.113.66.443 > 10.70.0.66.40227: tcp 0
1787538480.000000 IP 10.70.0.66.40228 > 203.0.113.66.443: tcp 0
1787538480.001000 IP 203.0.113.66.443 > 10.70.0.66.40228: tcp 0
1787538480.002000 IP 10.70.0.66.40228 > 203.0.113.66.443: tcp 0
1787538480.003000 IP 10.70.0.66.40228 > 203.0.113.66.443: tcp 50087
1787538480.004000 IP 203.0.113.66.443 > 10.70.0.66.40228: tcp 2
1787538480.005000 IP 10.70.0.66.40228 > 203.0.113.66.443: tcp 0
1787538480.006000 IP 203.0.113.66.443 > 10.70.0.66.40228: tcp 0
1787538490.000000 IP 10.70.0.66.40229 > 203.0.113.66.443: tcp 0
1787538490.001000 IP 203.0.113.66.443 > 10.70.0.66.40229: tcp 0
1787538490.002000 IP 10.70.0.66.40229 > 203.0.113.66.443: tcp 0
1787538490.003000 IP 10.70.0.66.40229 > 203.0.113.66.443: tcp 50087
1787538490.004000 IP 203.0.113.66.443 > 10.70.0.66.40229: tcp 2
1787538490.005000 IP 10.70.0.66.40229 > 203.0.113.66.443: tcp 0
1787538490.006000 IP 203.0.113.66.443 > 10.70.0.66.40229: tcp 0
1787538500.000000 IP 10.70.0.66.40230 > 203.0.113.66.443: tcp 0
1787538500.001000 IP 203.0.113.66.443 > 10.70.0.66.40230: tcp 0
1787538500.002000 IP 10.70.0.66.40230 > 203.0.113.66.443: tcp 0
1787538500.003000 IP 10.70.0.66.40230 > 203.0.113.66.443: tcp 50087
1787538500.004000 IP 203.0.113.66.443 > 10.70.0.66.40230: tcp 2
1787538500.005000 IP 10.70.0.66.40230 > 203.0.113.66.443: tcp 0
1787538500.006000 IP 203.0.113.66.443 > 10.70.0.66.40230: tcp 0
1787538510.000000 IP 10.70.0.66.40231 > 203.0.113.66.443: tcp 0
1787538510.001000 IP 203.0.113.66.443 > 10.70.0.66.40231: tcp 0
1787538510.002000 IP 10.70.0.66.40231 > 203.0.113.66.443: tcp 0
1787538510.003000 IP 10.70.0.66.40231 > 203.0.113.66.443: tcp 50087
1787538510.004000 IP 203.0.113.66.443 > 10.70.0.66.40231: tcp 2
1787538510.005000 IP 10.70.0.66.40231 > 203.0.113.66.443: tcp 0
1787538510.006000 IP 203.0.113.66.443 > 10.70.0.66.40231: tcp 0
1787538520.000000 IP 10.70.0.66.40232 > 203.0.113.66.443: tcp 0
1787538520.001000 IP 203.0.113.66.443 > 10.70.0.66.40232: tcp 0
1787538520.002000 IP 10.70.0.66.40232 > 203.0.113.66.443: tcp 0
1787538520.003000 IP 10.70.0.66.40232 > 203.0.113.66.443: tcp 50087
1787538520.004000 IP 203.0.113.66.443 > 10.70.0.66.40232: tcp 2
1787538520.005000 IP 10.70.0.66.40232 > 203.0.113.66.443: tcp 0
